Date,Time,Pid,Tid,Tag,Package,Level,X,Y,Z,Sensor,Value
2026-03-18,11:19:22.253,25527,25527,WALKING,com.asfalis.datacollector,D,-0.151829,0.293288,0.92677295,accelerometer,1773812962253
2026-03-18,11:19:22.271,25527,25527,WALKING,com.asfalis.datacollector,D,-0.15914899,0.309392,0.879925,accelerometer,1773812962271
2026-03-18,11:19:22.273,25527,25527,WALKING,com.asfalis.datacollector,D,-0.166957,0.323544,0.84966904,accelerometer,1773812962273
2026-03-18,11:19:22.275,25527,25527,WALKING,com.asfalis.datacollector,D,-0.166957,0.3294,0.834053,accelerometer,1773812962275
2026-03-18,11:19:22.374,25527,25527,WALKING,com.asfalis.datacollector,D,-0.158661,0.33184,0.82575697,accelerometer,1773812962374
2026-03-18,11:19:22.374,25527,25527,WALKING,com.asfalis.datacollector,D,-0.156221,0.328424,0.833565,accelerometer,1773812962374
2026-03-18,11:19:22.374,25527,25527,WALKING,com.asfalis.datacollector,D,-0.154269,0.324032,0.84966904,accelerometer,1773812962374
2026-03-18,11:19:22.374,25527,25527,WALKING,com.asfalis.datacollector,D,-0.155245,0.32208002,0.859917,accelerometer,1773812962374
2026-03-18,11:19:22.375,25527,25527,WALKING,com.asfalis.datacollector,D,-0.161101,0.323056,0.873093,accelerometer,1773812962375
2026-03-18,11:19:22.375,25527,25527,WALKING,com.asfalis.datacollector,D,-0.161589,0.32208002,0.890661,accelerometer,1773812962375
2026-03-18,11:19:22.375,25527,25527,WALKING,com.asfalis.datacollector,D,-0.160125,0.321592,0.911157,accelerometer,1773812962375
2026-03-18,11:19:22.375,25527,25527,WALKING,com.asfalis.datacollector,D,-0.002258044,-0.0073191775,0.006493823,gyroscope,1773812962375
2026-03-18,11:19:22.376,25527,25527,WALKING,com.asfalis.datacollector,D,-0.0050611333,-0.0038931794,0.0048742606,gyroscope,1773812962376
2026-03-18,11:19:22.376,25527,25527,WALKING,com.asfalis.datacollector,D,-0.16207701,0.323544,0.93262905,accelerometer,1773812962376
2026-03-18,11:19:22.376,25527,25527,WALKING,com.asfalis.datacollector,D,-0.160125,0.323056,0.96093297,accelerometer,1773812962376
2026-03-18,11:19:22.376,25527,25527,WALKING,com.asfalis.datacollector,D,-0.155733,0.322568,0.98289293,accelerometer,1773812962376
2026-03-18,11:19:22.376,25527,25527,WALKING,com.asfalis.datacollector,D,-0.0036907343,-0.0028342346,0.0021334623,gyroscope,1773812962376
2026-03-18,11:19:22.376,25527,25527,WALKING,com.asfalis.datacollector,D,-0.152805,0.32061598,0.997533,accelerometer,1773812962376
2026-03-18,11:19:22.377,25527,25527,WALKING,com.asfalis.datacollector,D,-0.154269,0.321592,1.001925,accelerometer,1773812962377
2026-03-18,11:19:22.393,25527,25527,WALKING,com.asfalis.datacollector,D,4.2046336E-4,-0.0047029606,2.0244533E-4,gyroscope,1773812962393
2026-03-18,11:19:22.393,25527,25527,WALKING,com.asfalis.datacollector,D,-0.154757,0.322568,1.0038769,accelerometer,1773812962393
2026-03-18,11:19:22.394,25527,25527,WALKING,com.asfalis.datacollector,D,-0.152317,0.32452,1.0038769,accelerometer,1773812962394
2026-03-18,11:19:22.409,25527,25527,WALKING,com.asfalis.datacollector,D,0.0037218793,-0.009374776,-0.0019154444,gyroscope,1773812962409
2026-03-18,11:19:22.420,25527,25527,WALKING,com.asfalis.datacollector,D,-0.15085301,0.325496,1.007293,accelerometer,1773812962420
2026-03-18,11:19:22.420,25527,25527,WALKING,com.asfalis.datacollector,D,-0.149877,0.325496,1.005829,accelerometer,1773812962420
2026-03-18,11:19:22.420,25527,25527,WALKING,com.asfalis.datacollector,D,-0.146461,0.325984,0.995581,accelerometer,1773812962420
2026-03-18,11:19:22.420,25527,25527,WALKING,com.asfalis.datacollector,D,0.0064626783,-0.014358046,-0.0042202068,gyroscope,1773812962420
2026-03-18,11:19:22.436,25527,25527,WALKING,com.asfalis.datacollector,D,-0.14353299,0.328424,0.986797,accelerometer,1773812962436
2026-03-18,11:19:22.436,25527,25527,WALKING,com.asfalis.datacollector,D,-0.13962899,0.33184,0.97362095,accelerometer,1773812962436
2026-03-18,11:19:22.436,25527,25527,WALKING,com.asfalis.datacollector,D,0.007272459,-0.018344661,-0.005964351,gyroscope,1773812962436
2026-03-18,11:19:22.458,25527,25527,WALKING,com.asfalis.datacollector,D,0.007210168,-0.019964224,-0.006898714,gyroscope,1773812962458
2026-03-18,11:19:22.458,25527,25527,WALKING,com.asfalis.datacollector,D,-0.135237,0.332816,0.959957,accelerometer,1773812962458
2026-03-18,11:19:22.458,25527,25527,WALKING,com.asfalis.datacollector,D,-0.135237,0.33428,0.945805,accelerometer,1773812962458
2026-03-18,11:19:22.459,25527,25527,WALKING,com.asfalis.datacollector,D,-0.132797,0.33672,0.934093,accelerometer,1773812962459
2026-03-18,11:19:22.470,25527,25527,WALKING,com.asfalis.datacollector,D,0.007708495,-0.016974261,-0.0070855864,gyroscope,1773812962470
2026-03-18,11:19:22.473,25527,25527,WALKING,com.asfalis.datacollector,D,-0.130357,0.341112,0.919453,accelerometer,1773812962473
2026-03-18,11:19:22.473,25527,25527,WALKING,com.asfalis.datacollector,D,-0.12840499,0.34208798,0.906277,accelerometer,1773812962473
2026-03-18,11:19:22.494,25527,25527,WALKING,com.asfalis.datacollector,D,0.0070855864,-0.011243502,-0.0064626783,gyroscope,1773812962494
2026-03-18,11:19:22.494,25527,25527,WALKING,com.asfalis.datacollector,D,-0.127917,0.34355202,0.899933,accelerometer,1773812962494
2026-03-18,11:19:22.495,25527,25527,WALKING,com.asfalis.datacollector,D,-0.125965,0.345016,0.89846903,accelerometer,1773812962495
2026-03-18,11:19:22.506,25527,25527,WALKING,com.asfalis.datacollector,D,0.0055906055,-0.005138997,-0.0052168607,gyroscope,1773812962506
2026-03-18,11:19:22.514,25527,25527,WALKING,com.asfalis.datacollector,D,-0.12352499,0.346968,0.89846903,accelerometer,1773812962514
2026-03-18,11:19:22.515,25527,25527,WALKING,com.asfalis.datacollector,D,-0.122549005,0.347456,0.90188503,accelerometer,1773812962515
