X_mean,X_std,X_max,X_min,X_sum_sq,Y_mean,Y_std,Y_max,Y_min,Y_sum_sq,Z_mean,Z_std,Z_max,Z_min,Z_sum_sq,is_accelerometer,is_gyroscope,label,motion
0.052407194,0.15768988,0.51699615,-0.6070422,8.283784,0.41847712,0.13403243,0.94232494,0.0596534,57.92634,0.9276482,0.21426529,1.6678479,0.5384102,271.93225,1.0,0.0,0,SAFE — Fast Walking
0.07389053,0.24533391,0.6282421,-0.64700997,19.694561,0.3229189,0.1911455,0.732865,-0.14745097,42.243965,0.991572,0.25120574,1.6141139,0.2544141,313.8958,1.0,0.0,0,SAFE — Fast Walking
0.06525817,0.2280963,0.5413623,-0.44490728,16.885967,0.29366457,0.20468412,0.8568676,-0.09472654,38.440342,0.99034965,0.2798455,1.8343725,0.4046183,317.73178,1.0,0.0,0,SAFE — Fast Walking
-0.10839048,0.19340095,0.3981023,-0.62192494,14.745727,0.4047532,0.15116802,0.7952716,-0.019991536,56.00308,0.9359487,0.18986085,2.0069087,0.5373854,273.61417,1.0,0.0,0,SAFE — Fast Walking
0.09527239,0.17028959,0.5594112,-0.4126792,11.422613,0.36919633,0.17373557,0.8141465,-0.038545273,49.94699,0.9518265,0.24421506,1.6997701,0.3100906,289.68442,1.0,0.0,0,SAFE — Fast Walking
0.15896285,0.20141084,0.8446309,-0.24493074,19.750656,0.38389894,0.16946554,0.77284807,-0.07127817,52.82909,0.9133461,0.22134951,1.7935789,0.35138914,264.959,1.0,0.0,0,SAFE — Fast Walking
0.0889654,0.17154236,0.424411,-0.7183952,11.202487,0.38114607,0.14472511,0.8006863,0.0233566,49.865307,0.93945223,0.19434845,1.7429959,0.3823936,276.10254,1.0,0.0,0,SAFE — Fast Walking
0.12789129,0.22724293,0.7700948,-0.46121255,20.398659,0.2528883,0.23018737,0.89888495,-0.28347602,35.081615,1.0027195,0.30454504,1.8218302,0.21433926,329.45822,1.0,0.0,0,SAFE — Fast Walking
0.26991603,0.35966194,1.0775393,-0.600618,60.66341,0.32013145,0.26731732,0.9477243,-0.34446016,52.182808,0.91095614,0.3237027,2.207589,0.28297126,280.38736,1.0,0.0,0,SAFE — Fast Walking
0.640855,0.3204605,1.8126527,0.018859653,154.01701,-0.46015128,0.6134279,0.72818446,-1.7268895,176.4099,0.25340873,0.47761127,1.624821,-0.6495644,87.698555,1.0,0.0,0,SAFE — Fast Walking
0.67512715,0.28565985,1.3648851,0.033038806,161.21947,-0.84423816,0.25014922,-0.2270959,-1.6617297,232.59383,-0.07251437,0.18120235,0.6013216,-0.517195,11.427789,1.0,0.0,0,SAFE — Fast Walking
0.6075357,0.513459,1.8781185,-0.9253925,189.82195,-0.5999046,0.53469324,0.664753,-1.7273942,193.73471,0.20572999,0.42755288,1.3474479,-0.48671058,67.53789,1.0,0.0,0,SAFE — Fast Walking
0.058581375,0.6982101,3.5812385,-7.7437305,147.27873,-0.10285409,0.88344723,5.0957313,-7.747095,237.3174,0.64837134,0.8499678,5.4382486,-5.97594,342.84918,1.0,0.0,1,DANGER — Highheight Free Fall
