window_id,dataset_name,danger_label,motion_description,x_mean,x_std,x_min,x_max,x_range,x_median,x_iqr,x_rms,y_mean,y_std,y_min,y_max,y_range,y_median,y_iqr,y_rms,z_mean,z_std,z_min,z_max,z_range,z_median,z_iqr,z_rms,mag_mean,mag_std,mag_min,mag_max,mag_range,mag_median,mag_iqr,mag_rms,xy_corr,xz_corr,yz_corr
0,fast_walking,0,SAFE — Fast Walking,0.05240719351700001,0.15768987781214383,-0.6070422,0.51699615,1.12403835,0.059653399999999995,0.21401422475,0.1661704290682826,0.4184771189966667,0.134032433471887,0.0596534,0.94232494,0.88267154,0.40896230499999997,0.14464805000000003,0.4394175603525036,0.9276482065333332,0.21426528071621395,0.5384102,1.6678479,1.1294377,0.9064258000000001,0.28323134500000013,0.9520718489719711,1.040851096344784,0.2092132994951626,0.5939733007062076,1.7199003518804856,1.125927051174278,1.0255116638727664,0.2888198912951776,1.0616690677644287,-0.1489752155025087,-0.26223517259791085,0.10208475237572437
1,fast_walking,0,SAFE — Fast Walking,0.07389052608749999,0.2453339088704302,-0.64700997,0.6282421,1.27525207,0.072601247,0.27279957825,0.25621970394006016,0.32291889646149996,0.19114550022540655,-0.14745097,0.732865,0.88031597,0.34507197,0.2791511425,0.375250870682979,0.9915720243999999,0.25120574288572917,0.2544141,1.6141139,1.3596998,0.97117265,0.32641885000000004,1.0228975534389968,1.0955834110483766,0.22908109241610228,0.5647519233671543,1.7226788076170003,1.157926884249846,1.069468498260811,0.2939417226644393,1.1192770691240623,-0.3068096811549118,-0.34538713934095033,-0.1523132269248627
2,fast_walking,0,SAFE — Fast Walking,0.06525816853000001,0.22809630850157922,-0.44490728,0.5413623,0.98626958,0.08362183,0.31922980749999996,0.23724787567423547,0.2936645632553333,0.20468412733755004,-0.09472654,0.8568676,0.95159414,0.269556895,0.3245909575,0.35795875138887173,0.9903496405333332,0.27984550199041575,0.4046183,1.8343725,1.4297542,0.96026677,0.3929208974999999,1.0291287166767675,1.0801627066812962,0.2770838587711743,0.5690113076656474,1.836314982556442,1.2673036748907944,1.0741389966655643,0.4208470705178835,1.1151353898503034,-0.7088024419183393,-0.3754415219493286,0.2801293094866459
3,fast_walking,0,SAFE — Fast Walking,-0.10839048370616666,0.1934009476655786,-0.62192494,0.3981023,1.0200272400000001,-0.0996747125,0.25003951874999997,0.2217034585115908,0.4047532164018667,0.15116801298234891,-0.019991536,0.7952716,0.815263136,0.420426445,0.21487847249999997,0.4320612622495656,0.9359487472000001,0.18986084481002727,0.5373854,2.0069087,1.4695232999999999,0.923304625,0.2089590874999998,0.9550116218021782,1.0567858485077852,0.17629584800441606,0.6909512565189215,2.0570393807172596,1.366088124198338,1.043525503315448,0.20215937473447443,1.0713900109810224,0.07656490902077158,-0.18102099780680433,-0.24705017581701735
4,fast_walking,0,SAFE — Fast Walking,0.09527239482201999,0.1702895974134499,-0.4126792,0.5594112,0.9720904,0.08362183000000001,0.2105153207955,0.19512912699635004,0.3691963222,0.17373558003584758,-0.038545273,0.8141465,0.852691773,0.38321192,0.2608115325,0.40803183220969247,0.9518265404333333,0.2442150600844843,0.3100906,1.6997701,1.3896795000000002,0.948642025,0.2991656225000001,0.9826569893128305,1.0547590039952885,0.2401323685698775,0.4596966773370305,1.7373856321262449,1.2776889547892143,1.0324677241045859,0.2695976371436648,1.0817486357486716,-0.5288552275996733,-0.10534738275415532,0.14049080717330018
5,fast_walking,0,SAFE — Fast Walking,0.15896285155083334,0.2014108489843494,-0.24493074,0.8446309,1.0895616399999999,0.137562275,0.29248137757500003,0.25658432972761347,0.38389894743333336,0.1694655387027709,-0.07127817,0.77284807,0.84412624,0.39585386499999997,0.21472543500000002,0.41963909570992264,0.9133461217333333,0.22134951429462665,0.35138914,1.7935789,1.44218976,0.89046465,0.2509802125,0.9397854784810139,1.0383768524379335,0.21657041994438636,0.49329188267864743,1.8519082346259137,1.3586163519472663,1.0167762700640943,0.21620491471906833,1.0607210917455157,-0.5926092223128382,0.09509105704942085,0.07887712053489936
6,fast_walking,0,SAFE — Fast Walking,0.08896539923466666,0.17154235702040016,-0.7183952,0.424411,1.1428061999999999,0.10079895,0.22783393325,0.19323980571584642,0.3811460713666666,0.14472511748776276,0.0233566,0.8006863,0.7773297,0.39172399999999996,0.21609825,0.4076980345183073,0.9394522408666666,0.19434845831239486,0.3823936,1.7429959,1.3606023,0.91158042,0.19509722000000007,0.9593444825076163,1.0452692642265375,0.17695567593131453,0.6020318186779682,1.7437374848913922,1.141705666213424,1.0125359924725865,0.17433892659998163,1.0601420404742918,-0.13278849724361652,-0.30955369961232143,-0.17059658811774128
7,fast_walking,0,SAFE — Fast Walking,0.1278912817635,0.22724293495221662,-0.46121255,0.7700948,1.23130735,0.13439605500000001,0.29689421025,0.26075952798854407,0.25288830185923333,0.2301873731218755,-0.28347602,0.89888495,1.18236097,0.235248545,0.31948601649999997,0.3419630388828539,1.0027195136,0.30454503726248205,0.21433926,1.8218302,1.60749094,1.01166045,0.41179204999999997,1.0479475667586748,1.0939446163847883,0.29396178383757565,0.4794003263530373,1.9099935745440795,1.4305932481910422,1.1040316221560262,0.4380287281998596,1.1327525564191996,-0.266415771457512,-0.25992182520882906,-0.0034200058323076844
8,fast_walking,0,SAFE — Fast Walking,0.26991603365833333,0.3596619321714097,-0.600618,1.0775393,1.6781573,0.21750547,0.540352767,0.4496791863975007,0.32013145085799993,0.26731732499198707,-0.34446016,0.9477243,1.29218446,0.35037196000000004,0.3648761425,0.4170643812042929,0.9109561668333334,0.3237026796841562,0.28297126,2.207589,1.92461774,0.879811135,0.32106138500000003,0.9667598268062152,1.1029273586721888,0.3071316866870146,0.5270196798451299,2.222702614472732,1.6956829346276023,1.0580939552882174,0.3683798635163026,1.1448924104363787,-0.20389737344215683,-0.33366433219104075,0.18789170911328995
9,fast_walking,0,SAFE — Fast Walking,0.6408549986633333,0.32046050155779815,0.018859653,1.8126527,1.7937930469999999,0.6177492,0.3761491175,0.7165124300181096,-0.4601512895023333,0.6134278965358051,-1.7268895,0.72818446,2.45507396,-0.6645542,1.0197710574999999,0.7668330936253355,0.2534087164145667,0.47761128217870896,-0.6495644,1.624821,2.2743854,0.06607761749999999,0.7174927255,0.5406741296005095,1.1376599594484424,0.31540670084273087,0.16979225466890877,2.3748130433280936,2.205020788659185,1.1370109105621578,0.3285541667977381,1.180572560357358,-0.1516353773760598,-0.08222985478516916,0.806923646021343
